ts;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U
00:00;19.6;71;19.0;77;15.9;74;15.4;74;18.5;65;18.7;81;13.9;77;15.2;78;16.4;72;16.0;66;15.9;67;17.6;61;19.8;68;17.6;84;16.3;84;16.6;75;17.6;66;18.0;74;19.1;76;18.3;66;;;;;;;;;;;13.0;56;13.5;78;14.3;65;13.5;65;13.7;66
01:00;18.3;73;19.1;73;18.2;76;15.5;75;15.2;80;17.6;67;17.9;79;13.5;79;14.8;78;15.4;78;15.0;69;15.2;70;16.6;64;19.7;70;17.6;83;16.1;85;16.0;79;17.6;68;17.4;75;18.7;78;18.0;72;;;;;;;;;;;12.4;58;12.6;79;13.7;69;13.5;66
02:00;17.7;75;18.6;75;18.0;74;15.0;77;14.7;83;17.4;68;16.1;75;13.2;80;14.6;78;14.7;82;15.1;70;14.7;72;15.3;69;19.1;70;17.6;83;16.0;86;15.3;81;16.7;72;16.9;77;18.6;78;17.6;75;;;;;;;;;;;10.2;63;12.2;77;12.8;73;12.8;68
03:00;17.2;77;17.8;76;17.8;73;14.7;77;14.2;86;16.9;70;15.8;76;13.0;80;14.2;79;14.1;83;14.5;72;14.0;75;15.0;71;18.5;74;17.3;83;15.6;87;14.8;80;16.4;74;16.5;78;17.8;80;16.8;79;;;;;;;;;;;9.1;69;11.8;73;12.2;77;12.4;70
04:00;16.6;79;17.9;78;17.5;71;14.2;78;13.8;87;16.5;71;15.6;75;12.6;83;13.7;82;13.6;84;14.1;73;13.6;76;14.8;71;18.6;75;17.4;80;15.3;88;14.1;80;15.7;75;16.1;80;17.0;83;16.2;82;;;;;;;;;;;8.7;74;11.4;73;11.7;79;11.4;74
05:00;16.1;80;17.5;78;17.1;69;13.8;80;13.2;87;16.2;73;15.4;71;12.7;83;13.2;83;13.2;85;13.8;74;13.0;78;14.2;72;18.4;72;17.4;79;15.2;89;13.3;82;14.9;78;16.1;81;16.3;86;15.8;83;;;;;;;;;;;7.9;75;10.2;76;11.3;80;11.0;76
06:00;15.9;81;16.9;79;16.9;70;13.3;82;13.1;88;16.0;74;15.3;73;12.7;83;12.8;85;12.7;86;13.2;75;12.6;80;14.2;74;17.7;74;17.3;79;15.0;90;13.0;84;14.4;80;15.9;82;15.9;87;15.3;85;;;;;;;;;;;7.7;77;10.5;75;10.8;82;10.7;77
07:00;15.7;83;18.2;77;16.7;70;13.2;84;12.5;88;16.0;76;15.4;75;12.7;84;12.3;86;12.3;85;12.3;77;12.2;81;13.7;75;17.4;76;17.3;79;14.5;90;12.7;85;13.9;83;15.7;82;15.6;88;14.6;85;;;;;;;;;;;7.4;80;9.8;75;10.4;84;10.5;78
08:00;17.3;80;19.9;67;17.5;67;14.6;80;13.8;87;17.7;71;15.6;74;14.1;80;13.2;85;14.7;81;15.3;74;13.6;80;15.4;74;18.2;77;17.5;79;15.8;90;13.8;84;15.0;82;16.7;79;16.5;86;16.1;82;;;;;;;;;;;9.4;79;10.8;78;11.7;84;11.5;77
09:00;20.9;66;21.5;59;18.7;60;17.7;69;17.5;72;20.4;61;16.4;70;16.5;68;16.2;74;19.2;57;19.1;60;18.2;64;18.1;66;19.0;76;18.0;77;17.9;85;16.7;73;18.4;71;19.2;68;19.3;73;19.6;66;;;;;;;;;;;14.3;60;13.5;68;14.2;75;14.6;65
