ID,Temperatura,Umidade
2017-04-10 01:00:00,21.72,84.7
2017-04-10 02:00:00,21.45,87.6
2017-04-10 03:00:00,21.56,86.4
2017-04-10 04:00:00,21.22,87.7
2017-04-10 05:00:00,21.34,87.4
2017-01-11 00:00:00,21.49,85.3
2017-01-11 01:00:00,21.74,83.6
2017-01-11 02:00:00,22.01,82.2
2017-01-11 03:00:00,22.0,82.3
2017-01-11 04:00:00,21.93,83.4
2017-01-11 05:00:00,21.8,84.2
2017-01-12 00:00:00,21.19,88.5
2017-01-12 01:00:00,21.21,87.6
2017-01-12 02:00:00,21.48,86.0
2017-01-12 03:00:00,21.29,87.9
2017-01-12 04:00:00,21.33,87.6
2017-01-12 05:00:00,21.19,88.7
2017-01-13 00:00:00,20.81,91.2
2017-01-13 01:00:00,20.88,90.7
2017-01-13 02:00:00,20.69,91.6
2017-01-13 03:00:00,20.69,91.8
2017-01-13 04:00:00,20.76,91.0
2017-01-13 05:00:00,20.7,91.2
2017-01-14 00:00:00,20.77,90.7
2017-01-14 01:00:00,20.87,89.9
2017-01-14 02:00:00,20.9,89.5
2017-01-14 03:00:00,20.73,89.9
2017-01-14 04:00:00,20.39,91.6
2017-01-14 05:00:00,20.73,90.2
2017-01-15 00:00:00,20.87,89.8
2017-01-15 01:00:00,20.88,89.8
2017-01-15 02:00:00,20.74,90.3
2017-01-15 03:00:00,20.7,90.7
2017-01-15 04:00:00,20.68,90.9
2017-01-15 05:00:00,20.51,92.6
2017-01-16 00:00:00,20.34,93.8
2017-01-16 01:00:00,20.37,93.7
2017-01-16 02:00:00,20.59,92.8
2017-01-16 03:00:00,20.74,92.3
2017-01-16 04:00:00,21.12,91.6
2017-01-16 05:00:00,21.94,87.6
2017-01-17 00:00:00,22.51,85.7
2017-01-17 01:00:00,22.94,84.1
2017-01-17 02:00:00,22.99,83.0
2017-01-17 03:00:00,23.17,83.5
2017-01-17 04:00:00,23.89,82.2
2017-01-17 05:00:00,24.04,82.8
2017-01-18 00:00:00,24.31,81.0
2017-01-18 01:00:00,24.59,79.8
2017-01-18 02:00:00,24.55,79.3
2017-01-18 03:00:00,25.03,78.3
2017-01-18 04:00:00,25.59,76.6
2017-01-18 05:00:00,26.09,74.7
2017-01-19 00:00:00,26.17,74.0
2017-01-19 01:00:00,26.32,72.5
2017-01-19 02:00:00,26.57,72.5
2017-01-19 03:00:00,26.28,73.1
2017-01-19 04:00:00,26.46,73.0
2017-01-19 05:00:00,26.94,69.18
2017-04-20 00:00:00,27.29,68.03
2017-04-20 01:00:00,27.74,65.74
2017-04-20 02:00:00,28.57,62.73
2017-04-20 03:00:00,28.74,58.1
2017-04-20 04:00:00,28.57,58.8
2017-04-20 05:00:00,29.11,59.69
2017-04-21 00:00:00,28.98,58.37
2017-04-21 01:00:00,29.32,59.56
2017-04-21 02:00:00,29.35,58.63
2017-04-21 03:00:00,29.69,54.81
2017-04-21 04:00:00,29.75,56.41
2017-04-21 05:00:00,29.68,55.82
2017-04-22 00:00:00,29.94,55.91
2017-04-22 01:00:00,30.09,55.71
2017-04-22 02:00:00,30.55,55.7
2017-04-22 03:00:00,30.52,55.19
2017-04-22 04:00:00,29.89,55.08
2017-04-22 05:00:00,30.21,53.91
2017-04-23 00:00:00,29.81,55.36
2017-04-23 01:00:00,30.73,54.14
2017-04-23 02:00:00,31.03,52.23
2017-04-23 03:00:00,31.19,51.42
2017-04-23 04:00:00,30.82,51.37
2017-04-23 05:00:00,30.45,51.77
2017-04-24 00:00:00,30.33,50.03
2017-04-24 01:00:00,30.2,51.82
2017-04-24 02:00:00,30.11,51.96
2017-04-24 03:00:00,30.19,52.61
2017-04-24 04:00:00,30.45,52.23
2017-04-24 05:00:00,30.42,52.22
2017-04-25 00:00:00,31.23,48.97
2017-04-25 01:00:00,31.63,45.95
2017-04-25 02:00:00,31.01,47.3
2017-04-25 03:00:00,30.76,47.78
2017-04-25 04:00:00,30.6,48.39
2017-04-25 05:00:00,30.47,50.02
2017-04-26 00:00:00,29.65,55.36
2017-04-26 01:00:00,28.34,62.8
2017-04-26 02:00:00,28.17,63.38
2017-04-26 03:00:00,28.32,62.76
2017-04-26 04:00:00,28.41,61.54
2017-04-26 05:00:00,28.88,60.62
2017-04-27 00:00:00,28.69,61.18
2017-04-27 01:00:00,28.51,62.34
2017-04-27 02:00:00,28.34,62.51
2017-04-27 03:00:00,25.59,68.99
2017-04-27 04:00:00,24.12,73.2
2017-04-27 05:00:00,23.36,76.8
2017-04-28 00:00:00,21.78,88.6
2017-04-28 01:00:00,20.82,95.2
2017-04-28 02:00:00,20.47,96.8
2017-04-28 03:00:00,20.5,97.5
2017-04-28 04:00:00,20.56,97.5
2017-04-28 05:00:00,20.73,97.7
2017-04-29 00:00:00,20.85,97.6
2017-04-29 01:00:00,20.86,97.1
2017-04-29 02:00:00,20.82,96.5
2017-04-29 03:00:00,20.87,95.7
2017-04-29 04:00:00,21.09,94.6
2017-04-29 05:00:00,21.23,92.8
2017-04-30 00:00:00,21.21,93.2
2017-04-30 01:00:00,21.21,94.4
2017-04-30 02:00:00,21.32,93.9
2017-04-30 03:00:00,20.99,95.0
2017-04-30 04:00:00,21.05,95.2
2017-04-30 05:00:00,21.35,94.4
2017-05-01 00:00:00,21.18,96.3
2017-05-01 01:00:00,21.25,95.8
2017-05-01 02:00:00,21.15,95.3
2017-05-01 03:00:00,21.16,95.4
2017-05-01 04:00:00,21.26,93.9
2017-05-01 05:00:00,21.14,93.0
2017-05-02 00:00:00,21.08,93.1
2017-05-02 01:00:00,20.96,94.3
2017-05-02 02:00:00,21.19,93.8
2017-05-02 03:00:00,21.2,94.2
2017-05-02 04:00:00,21.49,92.7
2017-05-02 05:00:00,21.37,93.8
2017-05-03 00:00:00,21.2,95.5
2017-05-03 01:00:00,21.19,95.6
2017-05-03 02:00:00,21.25,94.7
2017-05-03 03:00:00,21.24,94.2
2017-05-03 04:00:00,21.35,93.6
2017-05-03 05:00:00,21.59,92.6
2017-04-10 00:00:00,21.62,92.1
2017-07-19 01:00:00,21.57,92.4
2017-07-19 02:00:00,21.46,93.4
2017-07-19 03:00:00,21.55,93.9
2017-07-19 04:00:00,21.36,94.6
2017-07-19 05:00:00,20.9,95.9
2017-01-21 00:00:00,20.94,95.6
2017-01-21 01:00:00,20.91,94.9
2017-01-21 02:00:00,20.98,94.9
2017-01-21 03:00:00,21.08,94.3
2017-01-21 04:00:00,21.25,93.5
2017-01-21 05:00:00,20.97,94.8
2017-01-22 00:00:00,20.62,94.9
2017-01-22 01:00:00,20.34,97.1
2017-01-22 02:00:00,20.48,97.7
2017-01-22 03:00:00,20.54,97.2
2017-01-22 04:00:00,20.43,97.5
2017-01-22 05:00:00,20.46,97.9
2017-01-23 00:00:00,20.29,98.1
2017-01-23 01:00:00,20.31,98.4
2017-01-23 02:00:00,20.4,98.5
2017-01-23 03:00:00,20.4,98.4
2017-01-23 04:00:00,20.37,98.0
2017-01-23 05:00:00,20.36,97.9
2017-01-24 00:00:00,20.32,97.3
2017-01-24 01:00:00,20.29,96.2
2017-01-24 02:00:00,20.48,96.0
2017-01-24 03:00:00,20.59,96.7
2017-01-24 04:00:00,19.77,96.8
2017-01-24 05:00:00,19.66,98.1
2017-01-25 00:00:00,19.92,98.2
2017-01-25 01:00:00,19.89,97.9
2017-01-25 02:00:00,19.86,96.5
2017-01-25 03:00:00,19.74,96.0
2017-01-25 04:00:00,19.72,96.5
2017-01-25 05:00:00,19.8,96.3
2017-01-26 00:00:00,19.88,96.8
2017-01-26 01:00:00,20.14,96.7
2017-01-26 02:00:00,20.43,95.3
2017-01-26 03:00:00,20.72,94.5
2017-01-26 04:00:00,20.89,93.2
2017-01-26 05:00:00,21.18,90.4
2017-01-27 00:00:00,21.2,90.0
2017-01-27 01:00:00,21.37,89.4
2017-01-27 02:00:00,21.62,89.5
2017-01-27 03:00:00,21.82,88.2
2017-01-27 04:00:00,21.97,87.2
2017-01-27 05:00:00,22.03,87.4
2017-01-28 00:00:00,22.37,86.5
2017-01-28 01:00:00,22.74,86.1
2017-01-28 02:00:00,23.21,84.5
2017-01-28 03:00:00,23.63,83.3
2017-01-28 04:00:00,24.15,82.8
2017-01-28 05:00:00,25.0,80.2
2017-01-29 00:00:00,25.42,77.9
2017-01-29 01:00:00,25.7,76.7
2017-01-29 02:00:00,26.48,74.7
2017-01-29 03:00:00,26.87,72.3
2017-01-29 04:00:00,26.86,72.2
2017-01-29 05:00:00,26.84,71.2
2017-07-29 00:00:00,26.85,71.3
2017-07-29 01:00:00,27.12,70.0
2017-07-29 02:00:00,27.47,67.91
2017-07-29 03:00:00,27.62,66.89
2017-07-29 04:00:00,28.2,66.24
2017-07-29 05:00:00,27.87,66.84
2017-07-30 00:00:00,27.28,69.02
2017-07-30 01:00:00,27.58,67.87
2017-07-30 02:00:00,28.1,66.82
2017-07-30 03:00:00,27.84,69.03
2017-07-30 04:00:00,27.66,70.5
2017-07-30 05:00:00,27.65,70.2
2017-07-31 00:00:00,27.84,69.92
2017-07-31 01:00:00,27.92,68.9
2017-07-31 02:00:00,27.84,68.21
2017-07-31 03:00:00,27.73,68.7
2017-07-31 04:00:00,27.8,67.45
2017-07-31 05:00:00,28.09,67.05
2017-08-01 00:00:00,28.1,67.35
2017-08-01 01:00:00,28.29,66.5
2017-08-01 02:00:00,28.14,65.87
2017-08-01 03:00:00,28.5,65.42
2017-08-01 04:00:00,28.88,63.07
2017-08-01 05:00:00,28.9,61.49
2017-08-02 00:00:00,29.07,60.56
2017-08-02 01:00:00,29.53,58.63
2017-08-02 02:00:00,29.77,59.05
2017-08-02 03:00:00,30.14,59.1
2017-08-02 04:00:00,29.85,58.85
2017-08-02 05:00:00,29.71,59.27
2017-08-03 00:00:00,30.49,57.76
2017-08-03 01:00:00,30.7,56.5
2017-08-03 02:00:00,30.44,57.49
2017-08-03 03:00:00,30.65,56.82
2017-08-03 04:00:00,30.95,55.06
2017-08-03 05:00:00,30.66,55.49
2017-08-04 00:00:00,30.22,54.87
2017-08-04 01:00:00,29.85,55.66
2017-08-04 02:00:00,30.18,52.7
2017-08-04 03:00:00,30.34,52.68
2017-08-04 04:00:00,29.8,52.56
2017-08-04 05:00:00,29.77,53.17
2017-08-05 00:00:00,29.69,53.98
2017-08-05 01:00:00,29.72,53.91
2017-08-05 02:00:00,29.69,53.69
2017-08-05 03:00:00,29.54,54.47
2017-08-05 04:00:00,29.41,55.59
2017-08-05 05:00:00,28.8,63.61
2017-08-06 00:00:00,28.27,68.27
2017-08-06 01:00:00,27.73,70.2
2017-08-06 02:00:00,27.28,68.85
2017-08-06 03:00:00,27.0,66.64
2017-08-06 04:00:00,26.74,66.54
2017-08-06 05:00:00,26.4,67.38
2017-08-07 00:00:00,26.18,67.51
2017-08-07 01:00:00,26.06,67.48
2017-08-07 02:00:00,25.75,68.86
2017-08-07 03:00:00,25.79,68.62
2017-08-07 04:00:00,25.79,67.88
2017-08-07 05:00:00,25.87,66.99
2017-08-08 00:00:00,26.01,66.34
2017-08-08 01:00:00,25.89,67.59
2017-08-08 02:00:00,25.7,68.5
2017-08-08 03:00:00,25.6,69.04
2017-08-08 04:00:00,25.41,69.03
2017-08-08 05:00:00,25.15,69.16
2017-08-09 00:00:00,24.81,69.36
2017-08-09 01:00:00,24.4,69.95
2017-08-09 02:00:00,24.11,71.3
2017-08-09 03:00:00,23.84,72.6
2017-08-09 04:00:00,23.71,72.7
2017-08-09 05:00:00,23.81,72.3
2017-08-10 00:00:00,23.74,73.2
2017-08-10 01:00:00,23.64,74.7
2017-08-10 02:00:00,23.41,77.4
2017-08-10 03:00:00,23.3,79.5
2017-08-10 04:00:00,23.15,81.4
2017-08-10 05:00:00,23.08,82.6
2017-08-11 00:00:00,23.09,82.7
2017-08-11 01:00:00,23.08,82.2
2017-08-11 02:00:00,23.1,81.2
2017-08-11 03:00:00,23.0,81.0
2017-08-11 04:00:00,23.02,80.4
2017-08-11 05:00:00,22.99,80.5
2017-07-19 00:00:00,22.93,80.7
2017-10-27 01:00:00,22.87,81.0
2017-10-27 02:00:00,22.71,81.9
2017-10-27 03:00:00,22.58,82.6
2017-10-27 04:00:00,22.44,83.4
2017-10-27 05:00:00,22.37,83.7
2017-01-31 00:00:00,22.36,83.8
