ID,Ano,Dia Juliano,Hora - minuto,Temperatura,Umidade
0,2017,1,10,21.72,84.7
1,2017,1,20,21.45,87.6
2,2017,1,30,21.56,86.4
3,2017,1,40,21.22,87.7
4,2017,1,50,21.34,87.4
5,2017,1,100,21.49,85.3
6,2017,1,110,21.74,83.6
7,2017,1,120,22.01,82.2
8,2017,1,130,22.0,82.3
9,2017,1,140,21.93,83.4
10,2017,1,150,21.8,84.2
11,2017,1,200,21.19,88.5
12,2017,1,210,21.21,87.6
13,2017,1,220,21.48,86.0
14,2017,1,230,21.29,87.9
15,2017,1,240,21.33,87.6
16,2017,1,250,21.19,88.7
17,2017,1,300,20.81,91.2
18,2017,1,310,20.88,90.7
19,2017,1,320,20.69,91.6
20,2017,1,330,20.69,91.8
21,2017,1,340,20.76,91.0
22,2017,1,350,20.7,91.2
23,2017,1,400,20.77,90.7
24,2017,1,410,20.87,89.9
25,2017,1,420,20.9,89.5
26,2017,1,430,20.73,89.9
27,2017,1,440,20.39,91.6
28,2017,1,450,20.73,90.2
29,2017,1,500,20.87,89.8
30,2017,1,510,20.88,89.8
31,2017,1,520,20.74,90.3
32,2017,1,530,20.7,90.7
33,2017,1,540,20.68,90.9
34,2017,1,550,20.51,92.6
35,2017,1,600,20.34,93.8
36,2017,1,610,20.37,93.7
37,2017,1,620,20.59,92.8
38,2017,1,630,20.74,92.3
39,2017,1,640,21.12,91.6
40,2017,1,650,21.94,87.6
41,2017,1,700,22.51,85.7
42,2017,1,710,22.94,84.1
43,2017,1,720,22.99,83.0
44,2017,1,730,23.17,83.5
45,2017,1,740,23.89,82.2
46,2017,1,750,24.04,82.8
47,2017,1,800,24.31,81.0
48,2017,1,810,24.59,79.8
49,2017,1,820,24.55,79.3
50,2017,1,830,25.03,78.3
51,2017,1,840,25.59,76.6
52,2017,1,850,26.09,74.7
53,2017,1,900,26.17,74.0
54,2017,1,910,26.32,72.5
55,2017,1,920,26.57,72.5
56,2017,1,930,26.28,73.1
57,2017,1,940,26.46,73.0
58,2017,1,950,26.94,69.18
59,2017,1,1000,27.29,68.03
60,2017,1,1010,27.74,65.74
61,2017,1,1020,28.57,62.73
62,2017,1,1030,28.74,58.1
63,2017,1,1040,28.57,58.8
64,2017,1,1050,29.11,59.69
65,2017,1,1100,28.98,58.37
66,2017,1,1110,29.32,59.56
67,2017,1,1120,29.35,58.63
68,2017,1,1130,29.69,54.81
69,2017,1,1140,29.75,56.41
70,2017,1,1150,29.68,55.82
71,2017,1,1200,29.94,55.91
72,2017,1,1210,30.09,55.71
73,2017,1,1220,30.55,55.7
74,2017,1,1230,30.52,55.19
75,2017,1,1240,29.89,55.08
76,2017,1,1250,30.21,53.91
77,2017,1,1300,29.81,55.36
78,2017,1,1310,30.73,54.14
79,2017,1,1320,31.03,52.23
80,2017,1,1330,31.19,51.42
81,2017,1,1340,30.82,51.37
82,2017,1,1350,30.45,51.77
83,2017,1,1400,30.33,50.03
84,2017,1,1410,30.2,51.82
85,2017,1,1420,30.11,51.96
86,2017,1,1430,30.19,52.61
87,2017,1,1440,30.45,52.23
88,2017,1,1450,30.42,52.22
89,2017,1,1500,31.23,48.97
90,2017,1,1510,31.63,45.95
91,2017,1,1520,31.01,47.3
92,2017,1,1530,30.76,47.78
93,2017,1,1540,30.6,48.39
94,2017,1,1550,30.47,50.02
95,2017,1,1600,29.65,55.36
96,2017,1,1610,28.34,62.8
97,2017,1,1620,28.17,63.38
98,2017,1,1630,28.32,62.76
99,2017,1,1640,28.41,61.54
100,2017,1,1650,28.88,60.62
101,2017,1,1700,28.69,61.18
102,2017,1,1710,28.51,62.34
103,2017,1,1720,28.34,62.51
104,2017,1,1730,25.59,68.99
105,2017,1,1740,24.12,73.2
106,2017,1,1750,23.36,76.8
107,2017,1,1800,21.78,88.6
108,2017,1,1810,20.82,95.2
109,2017,1,1820,20.47,96.8
110,2017,1,1830,20.5,97.5
111,2017,1,1840,20.56,97.5
112,2017,1,1850,20.73,97.7
113,2017,1,1900,20.85,97.6
114,2017,1,1910,20.86,97.1
115,2017,1,1920,20.82,96.5
116,2017,1,1930,20.87,95.7
117,2017,1,1940,21.09,94.6
118,2017,1,1950,21.23,92.8
119,2017,1,2000,21.21,93.2
120,2017,1,2010,21.21,94.4
121,2017,1,2020,21.32,93.9
122,2017,1,2030,20.99,95.0
123,2017,1,2040,21.05,95.2
124,2017,1,2050,21.35,94.4
125,2017,1,2100,21.18,96.3
126,2017,1,2110,21.25,95.8
127,2017,1,2120,21.15,95.3
128,2017,1,2130,21.16,95.4
129,2017,1,2140,21.26,93.9
130,2017,1,2150,21.14,93.0
131,2017,1,2200,21.08,93.1
132,2017,1,2210,20.96,94.3
133,2017,1,2220,21.19,93.8
134,2017,1,2230,21.2,94.2
135,2017,1,2240,21.49,92.7
136,2017,1,2250,21.37,93.8
137,2017,1,2300,21.2,95.5
138,2017,1,2310,21.19,95.6
139,2017,1,2320,21.25,94.7
140,2017,1,2330,21.24,94.2
141,2017,1,2340,21.35,93.6
